tbl_id,proc_id,tbl_nm,st,county,mem1,mem2,mem3,mem4,mem5,mem6,mem7,mem8
1072,5,130% of FPL (Food Stamps Gross Income Table) - Updates October of current year                                                                                                                                                                                 ,48 States                                         ,                                                  ,9999,1579,1984,2389,2794,3200,3605,4010
1073,663,130% of FPL (Food Stamps Gross Income Table) - Updates October of current year                                                                                                                                                                                 ,AK                                                ,                                                  ,1466,1973,2480,2987,3494,4001,4508,5015
1074,664,130% of FPL (Food Stamps Gross Income Table) - Updates October of current year                                                                                                                                                                                 ,HI                                                ,                                                  ,1350,1816,2282,2747,3213,3679,4145,4611
1075,572,133% FPL                                                                                                                                                                                                                                                       ,                                                  ,                                                  ,1200,1615,2029,2444,2858,3273,3687,4102
1076,496,145% Poverty                                                                                                                                                                                                                                                   ,SC                                                ,                                                  ,1309,1761,2212,2664,3116,3568,4020,4472
1077,162,150% Federal Poverty Level                                                                                                                                                                                                                                     ,FD                                                ,                                                  ,1354,1821,2289,2756,3224,3691,4159,4626
1078,674,150% of FPL (Food Stamps Gross Income Table) - Updates October of current year                                                                                                                                                                                 ,SC                                                ,                                                  ,1354,1821,2289,2756,3224,3691,4159,4626
1603,690,160% of FPL (Food Stamps Gross Income Table) - Updates October of current year                                                                                                                                                                                 ,PA                                                ,,1444,1943,2442,2941,3440,3939,4438,4937
1604,691,165% of FPL (Food Stamps Gross Income Table) - Updates October of current year                                                                                                                                                                                 ,UT                                                ,,1489,2003,2518,3032,3546,4060,4575,5089
1079,679,175% of Poverty                                                                                                                                                                                                                                                ,AK                                                ,                                                  ,1973,2656,3338,4021,4703,5386,6068,6751
1080,673,185% of FPL (Food Stamps Gross Income Table) - Updates October of current year                                                                                                                                                                                 ,"CT, MT, VT and OR                                 ",                                                  ,1670,2246,2823,3399,3976,4553,5129,5706
1081,498,185% Poverty                                                                                                                                                                                                                                                   ,FD                                                ,                                                  ,1670,2246,2823,3399,3976,4553,5129,5706
1082,571,188% FPL (MA Prescription Advantage)                                                                                                                                                                                                                           ,                                                  ,                                                  ,1697,2283,2869,3455,4040,4626,5212,5798
1083,672,200% of FPL (Food Stamps Gross Income Table) - Updates October of current year                                                                                                                                                                                 ,"WA, MA, NY                                        ",,1805,2428,3052,3675,4298,4922,5545,6168
1084,495,220% of Poverty                                                                                                                                                                                                                                                ,WA                                                ,                                                  ,1986,2671,3357,4043,4728,5414,6100,6785
1085,494,275% Poverty                                                                                                                                                                                                                                                   ,FD                                                ,                                                  ,2482,3339,4196,5053,5910,6767,7624,8481
1086,573,280% FPL                                                                                                                                                                                                                                                       ,                                                  ,                                                  ,2527,3400,4272,5145,6018,6890,7763,8636
1087,680,300% of Poverty                                                                                                                                                                                                                                                ,HI                                                ,                                                  ,3115,4190,5265,6340,7415,8490,9565,10640
1088,511,350% FPL - ME Rx Plus - VT Healthy Vermonter                                                                                                                                                                                                                   ,ME                                                ,                                                  ,3159,4250,5340,6431,7522,8613,9704,10795
1089,501,400% Poverty - Healthy Vermonters and NY SCHIP                                                                                                                                                                                                                 ,                                                  ,                                                  ,3610,4857,6103,7350,8597,9843,11090,12337
1090,659,500% FPL (48 states except HI and AK)                                                                                                                                                                                                                          ,                                                  ,                                                  ,4513,6071,7629,9188,10746,12304,13863,15421
1091,660,500% FPL (AK)                                                                                                                                                                                                                                                  ,                                                  ,                                                  ,5640,7590,9540,11490,13440,15390,17340,19290
1092,661,500% FPL (HI)                                                                                                                                                                                                                                                  ,                                                  ,                                                  ,5190,6985,8775,10565,12360,14150,15940,17735
1093,570,500% FPL (MA Prescription Advantage )                                                                                                                                                                                                                          ,                                                  ,                                                  ,4513,6071,7629,9188,10746,12304,13863,15421
1094,682,ADAP                                                                                                                                                                                                                                                           ,NY                                                ,                                                  ,3667,4933,6200,6200,6200,6200,6200,6200
1095,36,AK Chronic and Acute Medical Assistance Program                                                                                                                                                                                                                ,AK                                                ,                                                  ,300,400,500,600,700,800,900,1000
1096,490,Allergan Patient Assistance Program                                                                                                                                                                                                                            ,FD                                                ,                                                  ,1000,1000,1583,1583,1583,1583,1583,1583
1097,512,AZ Property Tax                                                                                                                                                                                                                                                ,AZ                                                ,                                                  ,313,458,458,458,458,458,458,458
1098,649,AZ&Me Prescription Savings Program (48 states except HI and AK)                                                                                                                                                                                                ,                                                  ,                                                  ,2500,3333,4167,5000,5833,6667,7500,8333
1099,651,AZ&Me Prescription Savings Program (AK)                                                                                                                                                                                                                        ,                                                  ,                                                  ,3125,4167,5208,6250,7125,8333,9333,10417
1100,650,AZ&Me Prescription Savings Program (HI)                                                                                                                                                                                                                        ,                                                  ,                                                  ,2875,3833,4792,5750,6667,7667,8583,9583
1101,19,AZ-Emergency Assistance                                                                                                                                                                                                                                        ,AZ                                                ,                                                  ,1044,1407,1768,2131,2494,2856,3219,3582
1102,18,AZ-Medically Indigent/Medically Needy Program (40% FPL)                                                                                                                                                                                                        ,AZ                                                ,                                                  ,361,486,610,735,860,984,1109,1234
1103,21,AZ-Utility Replacement Repair Deposit Program  (60 or older) - 125% of Poverty                                                                                                                                                                                 ,AZ                                                ,                                                  ,1128,1518,1907,2297,2686,3076,3466,3855
1104,20,AZ-Utility Replacement Repair Deposit Program (Maximum Income/Disabled) - 150% of Poverty                                                                                                                                                                      ,AZ                                                ,                                                  ,1354,1821,2289,2756,3224,3691,4159,4626
1105,9,CA - Medical                                                                                                                                                                                                                                                   ,CA                                                ,                                                  ,2000,3000,3150,3300,3450,3600,3750,3900
