st,qmb_single_max,qmb_single_min,qmb_couple_max,qmb_couple_min,slmb_single_max,slmb_single_min,slmb_couple_max,slmb_couple_min,qi1_single_max,qi1_single_min,qi1_couple_max,qi1_couple_min
"AK","1148.00","0.00","1538.00","0.00","1373.00","1148.00","1841.00","1538.00","1542.00","1373.00","2069.00","1841.00"
"AL","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"AR","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"AZ","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"CA","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"CO","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"CT","1181.00","0.00","1771.00","0.00","1361.00","1181.00","2014.00","1771.00","1497.00","1361.00","2196.00","2014.00"
"DC","2728.00","0.00","3663.00","0.00","2728.00","0.00","3663.00","0.00","0.00","0.00","0.00","0.00"
"DE","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"FL","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"GA","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"HI","1058.00","0.00","1417.00","0.00","1266.00","1058.00","1696.00","1417.00","1422.00","1266.00","1906.00","1696.00"
"IA","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"ID","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"IL","948.00","0.00","1259.00","0.00","1128.00","948.00","1502.00","1259.00","1263.00","1128.00","1684.00","1502.00"
"IN","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"KS","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"KY","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"LA","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"MA","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"MD","923.00","0.00","1235.00","0.00","1238.00","923.00","1659.00","1235.00","0.00","0.00","0.00","0.00"
"ME","1429.00","0.00","1922.00","0.00","1609.00","1429.00","2164.00","1922.00","1745.00","1609.00","2347.00","2164.00"
"MI","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"MN","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"MO","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1238.00","1103.00","1659.00","1477.00"
"MS","953.00","0.00","1265.00","0.00","1133.00","953.00","1507.00","1265.00","1268.00","1133.00","1689.00","1507.00"
"MT","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"NC","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"ND","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"NE","923.00","0.00","1235.00","0.00","1239.00","923.00","1660.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"NH","923.00","0.00","1235.00","0.00","1239.00","923.00","1660.00","1235.00","0.00","0.00","0.00","0.00"
"NJ","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"NM","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"NV","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"NY","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"OH","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"OK","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"OR","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"PA","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"RI","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"SC","923.00","0.00","1235.00","0.00","1239.00","923.00","1660.00","1235.00","0.00","0.00","0.00","0.00"
"SD","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"TN","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"TX","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"UT","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"VA","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"VT","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"WA","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"WI","923.00","0.00","1235.00","0.00","1239.00","923.00","1660.00","1235.00","0.00","0.00","0.00","0.00"
"WV","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
"WY","923.00","0.00","1235.00","0.00","1103.00","923.00","1477.00","1235.00","1239.00","1103.00","1660.00","1477.00"
